love,MotivatedByGoal,you love somebody,-1,-1,-1,-1
full,MotivatedByGoal,it is full,-1,-1,-1,-1
kill,MotivatedByGoal,revenge,0.0,3,2,1
kill,MotivatedByGoal,defend yourself,-1,-1,-1,-1
remember,MotivatedByGoal,use the information later,-1,-1,-1,-1
dead,MotivatedByGoal,it is dead,-1,-1,-1,-1
learn,MotivatedByGoal,have more knowledge,-1,-1,-1,-1
shit,NotDesires,shit,0,0,0,0
person,NotDesires,be diseased,-1,-1,-1,-1
person,NotDesires,break a leg,-1,-1,-1,-1
lowkey,occupation,musician,0.0,3,2,1
lowkey,occupation,activism,0.0,3,2,1
malone,PartOf,new york,-1,-1,-1,-1
rider,PartOf,bill,0.0,3,2,1
mind,PartOf,Mind,-0.039925482875857767,160,159,1
class,PartOf,a class,-1,-1,-1,-1
god,PartOf,religion,0.0,3,2,1
half,PartOf,basketball,0.0,3,2,1
half,PartOf,football,0.0,3,2,1
beef,PartOf,beef,0,0,0,0
death,PartOf,life,-0.011094775566045753,3,159,1
person,PartOf,society,-0.039925482875857767,160,159,1
drugs,ReceivesAction,prohibited,0.0,3,2,1
colleges,ReceivesAction,known as institutes of higher education,-1,-1,-1,-1
burger,RelatedTo,patty,0.0,3,2,1
graduation,RelatedTo,graduation,0,0,0,0
drag,RelatedTo,drag,0,0,0,0
tryna,RelatedTo,try,-0.006797372005639958,3,3,1
tryna,RelatedTo,to,0.0,3,2,1
start,RelatedTo,beginning,-0.039925482875857767,160,159,1
start,RelatedTo,begin,-0.039925482875857767,160,159,1
already,RelatedTo,already,0,0,0,0
trust,RelatedTo,trust,0,0,0,0
malone,RelatedTo,franklin county,-1,-1,-1,-1
malone,RelatedTo,usa,0.0,3,2,1
malone,RelatedTo,new york,-1,-1,-1,-1
malone,RelatedTo,malone,0,0,0,0
malone,RelatedTo,county seat,-1,-1,-1,-1
album,RelatedTo,album,0,0,0,0
album,RelatedTo,record player,-1,-1,-1,-1
aight,RelatedTo,all right,-1,-1,-1,-1
name,RelatedTo,person,0.15640715725518758,3,160,71
name,RelatedTo,title,0.0,3,2,1
name,RelatedTo,personal,-0.011094775566045753,3,159,1
name,RelatedTo,label,0.0,3,2,1
name,RelatedTo,identity,0.0,3,2,1
name,RelatedTo,moniker,0.0,3,2,1
name,RelatedTo,identification,2.6302010616786426,3,2,41
name,RelatedTo,nomenclature,6.488145240150165,3,2,84
rider,RelatedTo,rider,0,0,0,0
rap,RelatedTo,music,0.0,3,2,1
rap,RelatedTo,hip hop,-1,-1,-1,-1
rap,RelatedTo,hip,0.0,3,2,1
rap,RelatedTo,hop,-0.011094775566045753,3,159,1
educated,RelatedTo,numerate,-0.006970056373460306,160,2,1
educated,RelatedTo,intellectual,-0.006970056373460306,160,2,1
educated,RelatedTo,enlightened,-0.006970056373460306,160,2,1
educated,RelatedTo,informed,-0.006970056373460306,160,2,1
enough,RelatedTo,sufficient,-0.008601455725648209,43,2,1
art,RelatedTo,painting,0.0,3,2,1
art,RelatedTo,paintings,0.0,3,2,1
art,RelatedTo,sculpture,0.0,3,2,1
art,RelatedTo,museum,0.0,3,2,1
art,RelatedTo,expression,0.0,3,2,1
art,RelatedTo,drawing,-0.011094775566045753,3,159,1
art,RelatedTo,museums,0.0,3,2,1
art,RelatedTo,creative,0.0,3,2,1
behind,RelatedTo,back,0.0,3,2,1
lyrics,RelatedTo,lyric,-0.006797372005639958,3,3,1
talks,RelatedTo,talk,-0.006797372005639958,3,3,1
ignorant,RelatedTo,ignore,0.0,3,2,1
mind,RelatedTo,brain,-0.006970056373460306,160,2,1
mind,RelatedTo,thinking,-0.039925482875857767,160,159,1
mind,RelatedTo,thought,-0.039925482875857767,160,159,1
cock,RelatedTo,cock,0,0,0,0
juul,RelatedTo,pernille,0.0,3,2,1
juul,RelatedTo,norway,0.0,3,2,1
juul,RelatedTo,danish,0.0,3,2,1
hard,RelatedTo,difficult,-0.006970056373460306,160,2,1
girl,RelatedTo,female,-0.03957362845569876,128,159,1
girl,RelatedTo,young,-0.03957362845569876,128,159,1
girl,RelatedTo,woman,-0.03957362845569876,128,159,1
girl,RelatedTo,child,-0.03957362845569876,128,159,1
girl,RelatedTo,person,-0.039575459805064356,128,160,1
girl,RelatedTo,gender,-0.03957362845569876,128,159,1
girl,RelatedTo,young woman,-1,-1,-1,-1
girl,RelatedTo,boy,-0.03957362845569876,128,159,1
tell,RelatedTo,tell,0,0,0,0
story,RelatedTo,tale,-0.039925482875857767,160,159,1
story,RelatedTo,book,-0.006970056373460306,160,2,1
story,RelatedTo,plot,-0.006970056373460306,160,2,1
story,RelatedTo,novel,-0.006970056373460306,160,2,1
story,RelatedTo,narrative,-0.039925482875857767,160,159,1
story,RelatedTo,books,-0.006970056373460306,160,2,1
story,RelatedTo,bedtime,-0.006970056373460306,160,2,1
story,RelatedTo,telling,-0.039932619709216834,160,160,1
story,RelatedTo,fairy,-0.006970056373460306,160,2,1
story,RelatedTo,fable,-0.006970056373460306,160,2,1
story,RelatedTo,fiction,-0.006970056373460306,160,2,1
picture,RelatedTo,photo,0.0,3,2,1
picture,RelatedTo,image,0.0,3,2,1
picture,RelatedTo,photograph,0.0,3,2,1
picture,RelatedTo,frame,0.0,3,2,1
picture,RelatedTo,camera,0.0,3,2,1
picture,RelatedTo,painting,0.0,3,2,1
picture,RelatedTo,art,-0.006797372005639958,3,3,1
picture,RelatedTo,drawing,-0.011094775566045753,3,159,1
picture,RelatedTo,portrait,0.0,3,2,1
picture,RelatedTo,framed,0.0,3,2,1
bart,RelatedTo,baronet,0.0,3,2,1
bart,RelatedTo,diminutive,0.0,3,2,1
bart,RelatedTo,bartholomew,0.0,3,2,1
bart,RelatedTo,given name,-1,-1,-1,-1
simpson,RelatedTo,patronymic,0.0,3,2,1
simpson,RelatedTo,simon,0.0,3,2,1
simpson,RelatedTo,sim,0.0,3,2,1
simpson,RelatedTo,english,0.0,3,2,1
simpson,RelatedTo,scottish,0.0,3,2,1
feel,RelatedTo,feel,0,0,0,0
